step,loss,lr,mask_entropy,slots_used,recon_min,recon_max,sec_per_step
200,0.3348357798904181,7.863246057202185e-06,1.7917068004608154,6,-0.23596926033496857,0.12220709025859833,0.07712075114250183
400,0.21592171125113965,1.5456320392896074e-05,1.7908984422683716,6,-0.7051376700401306,1.0026458501815796,0.06094022035598755
600,0.08672252343967557,2.278618508977993e-05,1.790071725845337,5,-0.9910483360290527,0.9852156639099121,0.06155453085899353
800,0.07495524190366268,2.985964275800052e-05,1.789975881576538,6,-1.0500096082687378,1.0896257162094116,0.06249281644821167
1000,0.06719121435657144,3.66833399597068e-05,1.7899212837219238,6,-1.3976280689239502,1.26763916015625,0.06225750207901001
1200,0.06262299675494433,4.326377056300555e-05,1.7897248268127441,6,-1.0408462285995483,1.2807409763336182,0.0624237847328186
1400,0.060336998645216224,4.9607279026733794e-05,1.79001784324646,6,-1.2780914306640625,1.1413003206253052,0.06270803451538086
1600,0.05904751675203443,5.572006361743518e-05,1.7907633781433105,6,-1.1299968957901,1.1870718002319336,0.06285852670669556
1800,0.05847872784361243,6.16081795599005e-05,1.7909414768218994,6,-0.8333336114883423,1.0447138547897339,0.06304997086524963
2000,0.05816663512960076,6.727754212260523e-05,1.7912421226501465,6,-1.249738097190857,0.9818748235702515,0.06321609497070313
2200,0.058387281522154805,7.273392963935144e-05,1.7912631034851074,6,-0.9038305282592773,1.2036265134811401,0.06344722628593445
2400,0.05667904570698738,7.798298646839516e-05,1.7914509773254395,6,-1.0843430757522583,1.125616431236267,0.06332207679748535
2600,0.05820022663101554,7.983675566376493e-05,1.7915313243865967,6,-0.9661720991134644,0.9995468258857727,0.06329535245895386
2800,0.05667125303298235,7.846520798737242e-05,1.7915260791778564,6,-1.0662840604782104,1.1143488883972168,0.06326431035995483
3000,0.05615760058164596,7.711722267912697e-05,1.7916473150253296,6,-1.0338797569274902,1.0641318559646606,0.06334291696548462
3200,0.055064887665212156,7.579239495164698e-05,1.7916550636291504,6,-0.9838754534721375,1.0376743078231812,0.06346712350845336
3400,0.05657242765650153,7.449032697155575e-05,1.7916843891143799,6,-1.0445210933685303,0.8952056765556335,0.06340714812278747
3600,0.055124216340482236,7.321062774001588e-05,1.791675329208374,6,-0.9555513858795166,1.0345796346664429,0.06338194489479065
3800,0.05450457971543074,7.195291297531597e-05,1.7916553020477295,6,-0.932725191116333,1.0382320880889893,0.06338223814964294
4000,0.05492800176143646,7.071680499747439e-05,1.7916955947875977,6,-1.0509381294250488,1.0299490690231323,0.0635957396030426
4200,0.05639356607571244,6.950193261482559e-05,1.7917144298553467,6,-1.1155381202697754,1.0684245824813843,0.06359001517295837
4400,0.05611005393788218,6.830793101255459e-05,1.7917263507843018,6,-1.0723698139190674,0.9913802146911621,0.06347374439239502
4600,0.054477453138679265,6.713444164314661e-05,1.7917263507843018,6,-1.1645722389221191,1.0469887256622314,0.06356860637664795
4800,0.055053369738161564,6.59811121187186e-05,1.7917325496673584,6,-0.9991651177406311,1.0146446228027344,0.06373190999031067
5000,0.05517793565988541,6.484759610520033e-05,1.7917258739471436,6,-1.0860587358474731,1.0218079090118408,0.06365707635879517
5200,0.05543568022549152,6.373355321833367e-05,1.7917296886444092,6,-1.0536150932312012,0.9713549017906189,0.06367023706436158
5400,0.05490237321704626,6.263864892145831e-05,1.791731357574463,6,-1.100717544555664,1.0827696323394775,0.06366624116897583
5600,0.0540150286257267,6.15625544250535e-05,1.791727066040039,6,-0.997886061668396,1.0986170768737793,0.06343392133712769
5800,0.055072499923408035,6.0504946588005674e-05,1.7917184829711914,6,-1.1478222608566284,1.0240920782089233,0.06368106007575988
6000,0.054893020316958425,5.946550782057219e-05,1.7917051315307617,6,-0.9823850393295288,1.0647666454315186,0.06355265259742737
6200,0.05366325200535357,5.8443925989012074e-05,1.7917184829711914,6,-0.9379379749298096,1.070148229598999,0.06372239828109741
6400,0.05503181330859661,5.7439894321855195e-05,1.7916827201843262,6,-1.0498062372207642,1.2110241651535034,0.0637395441532135
6600,0.05530819786712527,5.645311131778169e-05,1.791678547859192,6,-1.0675058364868164,1.1368134021759033,0.06349613904953003
6800,0.05430652983486652,5.548328065508388e-05,1.7916533946990967,6,-1.1212282180786133,1.0488778352737427,0.06354660987854004
