step,loss,lr,mask_entropy,slots_used,recon_min,recon_max,sec_per_step
200,0.23240048423409462,0.0001,1.791480541229248,6,-1.0483317375183105,0.840060830116272,0.2125179409980774
400,0.07130589503794908,0.0001,1.7911640405654907,6,-1.1392713785171509,1.1318162679672241,0.20213671326637267
600,0.059281856641173365,0.0001,1.791312336921692,6,-1.1267648935317993,1.0231404304504395,0.20467217087745668
800,0.05843657650053501,0.0001,1.7915222644805908,6,-1.0858551263809204,1.0479017496109009,0.20836800336837769
1000,0.05640630975365639,0.0001,1.7914191484451294,6,-1.1260732412338257,1.1034505367279053,0.21041436672210692
1200,0.05596787303686142,0.0001,1.7915258407592773,6,-1.0152443647384644,1.07430899143219,0.21172193169593811
1400,0.05553242096677422,0.0001,1.7916145324707031,6,-1.0290143489837646,1.0792311429977417,0.21239750266075133
1600,0.055084600001573565,0.0001,1.791616678237915,6,-1.0597981214523315,1.0262356996536255,0.212445513010025
1800,0.0552165531180799,0.0001,1.791657567024231,6,-0.8427961468696594,1.011322259902954,0.2127861475944519
2000,0.05580285925418139,0.0001,1.7916505336761475,6,-1.1552093029022217,0.9517899751663208,0.21282026886940003
2200,0.05631006764248014,0.0001,1.7916337251663208,6,-0.8441070318222046,1.0542595386505127,0.21324663281440734
2400,0.054446343258023264,0.0001,1.7916858196258545,6,-1.0300700664520264,1.0289621353149414,0.21313583850860596
2600,0.05647596586495638,0.0001,1.7916674613952637,6,-1.089172124862671,1.0132718086242676,0.21333587884902955
2800,0.0553578133508563,0.0001,1.791687250137329,6,-0.9760260581970215,1.1307662725448608,0.21290312290191651
3000,0.05556371033191681,0.0001,1.7917101383209229,6,-1.0306479930877686,1.0878026485443115,0.2129882788658142
3200,0.05462956119328737,0.0001,1.791698932647705,6,-1.0518897771835327,0.9480418562889099,0.2126687502861023
3400,0.05582340771332383,0.0001,1.7916998863220215,6,-1.083191990852356,0.9630386829376221,0.21267625212669372
3600,0.054980805087834594,0.0001,1.7916994094848633,6,-1.0212732553482056,0.9868909120559692,0.21242553234100342
3800,0.05404137048870325,0.0001,1.7917113304138184,6,-0.9477209448814392,1.0394856929779053,0.2122511088848114
4000,0.05466699516400695,0.0001,1.791703224182129,6,-1.096447467803955,1.0562849044799805,0.21243836164474486
4200,0.05687470922246576,0.0001,1.791696310043335,6,-1.1017783880233765,1.1391563415527344,0.21245570182800294
4400,0.05570748830214143,0.0001,1.7916972637176514,6,-1.1032246351242065,0.9536267518997192,0.21219086408615112
4600,0.05435828037559986,0.0001,1.7917026281356812,6,-1.0672447681427002,1.0166101455688477,0.212216614484787
4800,0.055300690829753876,0.0001,1.7917143106460571,6,-1.033036708831787,1.0822662115097046,0.21199753999710083
5000,0.05488900724798441,0.0001,1.7916953563690186,6,-1.0956904888153076,1.028964638710022,0.2122471511363983
5200,0.05576604508794844,0.0001,1.7916927337646484,6,-1.0057120323181152,1.0167784690856934,0.21209553122520447
5400,0.05464798253029585,0.0001,1.7917144298553467,6,-1.1467981338500977,1.0825470685958862,0.21210611820220948
5600,0.05393685268238187,0.0001,1.7917025089263916,6,-0.9682589769363403,1.0945342779159546,0.21207326054573059
5800,0.05523111023008823,0.0001,1.7916982173919678,6,-1.079954981803894,1.052581787109375,0.2119908857345581
6000,0.05481155471876264,0.0001,1.7916723489761353,6,-1.018898606300354,1.0543639659881592,0.21189207911491395
6200,0.05376992227509618,0.0001,1.7916059494018555,6,-0.8744189739227295,1.0743204355239868,0.2120324420928955
6400,0.05453797653317451,0.0001,1.7914037704467773,6,-1.0358529090881348,1.100712776184082,0.21166694402694702
6600,0.05463222986087203,0.0001,1.7911670207977295,6,-1.0573455095291138,1.143690824508667,0.21155384421348572
6800,0.05341244842857122,0.0001,1.7904773950576782,6,-1.1336839199066162,1.0653499364852905,0.2115975534915924
7000,0.05310370333492756,0.0001,1.788745641708374,6,-1.0346572399139404,1.109606385231018,0.21180992364883422
7200,0.05436976356431842,0.0001,1.786744236946106,6,-1.1239864826202393,1.0330491065979004,0.21168574690818787
7400,0.05375549985095859,0.0001,1.7868242263793945,6,-1.078805685043335,0.9871599078178406,0.2115751326084137
7600,0.0528862594999373,0.0001,1.7861900329589844,6,-1.0079431533813477,1.1535837650299072,0.21130534768104553
7800,0.053840865399688485,0.0001,1.7840957641601562,6,-1.0345392227172852,1.0493686199188232,0.21125153779983522
8000,0.052932913806289436,0.0001,1.7802000045776367,6,-1.0175458192825317,1.0605216026306152,0.21096413135528563
8200,0.05247136217541993,0.0001,1.7789777517318726,6,-0.7885087132453918,1.0186169147491455,0.21089613795280457
8400,0.05354103578254581,0.0001,1.7621407508850098,6,-0.9660874009132385,1.034119963645935,0.21082682013511658
8600,0.05501078113913536,0.0001,1.7563221454620361,6,-0.9906473159790039,1.0437086820602417,0.21071907997131348
8800,0.05263918185606599,0.0001,1.673367977142334,6,-1.0624874830245972,1.0204179286956787,0.21072105407714845
9000,0.05358904661610722,0.0001,1.5386550426483154,6,-1.0399045944213867,1.0371700525283813,0.21084010004997253
9200,0.05099182652309537,0.0001,1.4061816930770874,6,-1.0407395362854004,1.0662732124328613,0.21108635783195495
9400,0.04878917064517736,0.0001,1.3298823833465576,6,-0.8639494776725769,1.0191519260406494,0.21126795053482056
9600,0.04659542688168585,0.0001,1.320402979850769,6,-1.0931484699249268,1.1161205768585205,0.2118118679523468
9800,0.04559951120056212,0.0001,0.9651163816452026,6,-1.1083691120147705,0.9600061774253845,0.2114926290512085
10000,0.044119334584102034,0.0001,1.0358219146728516,6,-1.0405268669128418,0.9762232303619385,0.21140831589698791
10200,0.04305483888834715,0.0001,0.9372438788414001,6,-0.9996694326400757,1.1711087226867676,0.21190370321273805
10400,0.042989585669711235,0.0001,1.0310320854187012,6,-1.1255161762237549,1.0465826988220215,0.21126216411590576
10600,0.04219435771927237,0.0001,0.8284178972244263,6,-1.1051914691925049,0.9259213209152222,0.21129789352416992
10800,0.04221996013075113,0.0001,0.7849268317222595,6,-1.0300960540771484,1.0457825660705566,0.21117437839508058
11000,0.04113850818015635,0.0001,0.9539074897766113,6,-1.0753904581069946,0.9994252920150757,0.21105757355690002
11200,0.03898037009872496,0.0001,0.8960329294204712,6,-1.018762469291687,0.8833580017089844,0.21134840726852416
11400,0.038900437066331506,0.0001,0.7367215752601624,6,-1.0943995714187622,1.0905681848526,0.211337331533432
11600,0.04012860285118222,0.0001,0.942215085029602,6,-0.8518627882003784,1.0292565822601318,0.2113100230693817
11800,0.03957285268232227,0.0001,0.9139421582221985,6,-1.0898905992507935,0.969118058681488,0.21096683740615846
12000,0.03874214547686279,0.0001,0.9095139503479004,6,-1.08287513256073,0.9797300100326538,0.21081106424331664
12200,0.038461972950026395,0.0001,0.8206440210342407,6,-1.0605052709579468,1.042954444885254,0.21098096132278443
12400,0.03906135456636548,0.0001,0.8249357342720032,6,-1.0125046968460083,1.0056488513946533,0.21065259456634522
12600,0.03750293193385005,0.0001,0.6798607707023621,6,-1.275066614151001,0.9645971059799194,0.2104230785369873
12800,0.03737909250892699,0.0001,1.0131208896636963,6,-1.023354411125183,0.9740395545959473,0.210424747467041
13000,0.03799289696849883,0.0001,0.9010881185531616,6,-1.01567804813385,0.999528169631958,0.2104572355747223
13200,0.03657046521082521,0.0001,0.8135519623756409,6,-0.9841874837875366,1.0404151678085327,0.2103968834877014
13400,0.03621244651265442,0.0001,0.6942310333251953,6,-0.990554690361023,0.918738842010498,0.21057091355323793
13600,0.036893136855214836,0.0001,1.2508347034454346,6,-1.1919991970062256,1.0010836124420166,0.21035446882247924
13800,0.03627864112146199,0.0001,0.9653795957565308,6,-1.1406464576721191,1.0518170595169067,0.21018341422080994
14000,0.03676696461625397,0.0001,0.7903828620910645,6,-1.0969581604003906,1.0454715490341187,0.21024003148078918
14200,0.036540442211553455,0.0001,0.8720049858093262,6,-1.064503788948059,1.0335123538970947,0.2102263915538788
14400,0.037530012549832466,0.0001,0.8865883350372314,6,-1.0187562704086304,1.0656323432922363,0.2102111840248108
14600,0.03517958087846637,0.0001,0.9275915622711182,6,-1.0354677438735962,1.052837610244751,0.2100239849090576
14800,0.03518405742943287,0.0001,0.8043718338012695,6,-1.095902681350708,1.053295373916626,0.2100026273727417
15000,0.034944836860522625,0.0001,1.063156247138977,6,-1.0983538627624512,1.0278881788253784,0.20987434387207032
15200,0.03423462309874594,0.0001,0.8717478513717651,6,-1.0888820886611938,1.0557119846343994,0.20987228393554688
15400,0.033429577732458714,0.0001,1.1987054347991943,6,-1.0531052350997925,1.0516318082809448,0.20981895327568054
15600,0.033984810765832665,0.0001,0.8846853971481323,6,-0.9644008278846741,1.065048336982727,0.20985511779785157
15800,0.033146742591634394,0.0001,0.9965443015098572,6,-0.9682171940803528,1.000091552734375,0.20977376341819765
16000,0.03346384488977492,0.0001,1.2060246467590332,6,-1.123879313468933,1.0016297101974487,0.2098727059364319
16200,0.0325695241894573,0.0001,0.9976191520690918,6,-1.0970690250396729,1.0119354724884033,0.20993746042251588
16400,0.0345581008028239,0.0001,0.8407738208770752,6,-0.9428459405899048,1.0055345296859741,0.209865802526474
16600,0.034066852275282146,0.0001,0.7431718111038208,6,-1.0508347749710083,1.1705601215362549,0.20966277837753297
16800,0.033005390614271164,0.0001,0.766556978225708,6,-0.9928184151649475,1.1304152011871338,0.20979754328727723
17000,0.03262523231096566,0.0001,1.0252964496612549,6,-1.012560248374939,1.036186695098877,0.20977052927017212
17200,0.03312918241135776,0.0001,0.8372005224227905,6,-1.0357515811920166,1.0318068265914917,0.20972241044044496
17400,0.0317484687641263,0.0001,1.060967206954956,6,-1.090728521347046,1.0289207696914673,0.20949699640274047
17600,0.03246750896796584,0.0001,0.9879215955734253,6,-1.0509605407714844,1.224603533744812,0.2095253849029541
17800,0.032828194880858065,0.0001,1.0106343030929565,6,-1.1316131353378296,1.0604147911071777,0.20939587831497192
18000,0.03197936065495014,0.0001,0.9213937520980835,6,-1.1044323444366455,0.9890000224113464,0.2092789888381958
18200,0.032116006268188356,0.0001,1.000349998474121,6,-1.0724356174468994,1.0618599653244019,0.20948689818382263
18400,0.03113918211311102,0.0001,0.9549449682235718,6,-1.1805309057235718,1.1452604532241821,0.20936424612998963
18600,0.031001389333978294,0.0001,0.9837281703948975,6,-1.0807921886444092,1.0672481060028076,0.20929245710372923
18800,0.03177324738353491,0.0001,0.9078785181045532,6,-1.1119275093078613,0.9671693444252014,0.20928598284721375
19000,0.03060831596143544,0.0001,0.8810811042785645,6,-1.0248003005981445,1.0406514406204224,0.20927637577056885
19200,0.031413752883672715,0.0001,1.1385300159454346,6,-1.030558705329895,1.0004552602767944,0.20920932531356812
19400,0.030774834221228956,0.0001,1.0673718452453613,6,-1.0882219076156616,1.0298587083816528,0.20914278149604798
19600,0.029508101642131804,0.0001,1.0455127954483032,6,-1.0180747509002686,1.0233988761901855,0.20898675084114074
19800,0.030787792317569257,0.0001,0.9331358671188354,6,-1.1788667440414429,1.1503775119781494,0.20913363337516785
20000,0.030303980968892575,0.0001,0.9964290857315063,6,-1.096131443977356,0.8928011655807495,0.209099702835083
20200,0.030599456327036024,0.0001,1.1380444765090942,6,-1.054236650466919,1.0286030769348145,0.20898742198944092
20400,0.03061639444902539,0.0001,0.9425501823425293,6,-1.0452194213867188,1.0714432001113892,0.2088863217830658
20600,0.031416010498069226,0.0001,0.9268269538879395,6,-1.0254582166671753,0.9194375276565552,0.2088246488571167
20800,0.03192058167420328,0.0001,1.2811427116394043,6,-1.1437324285507202,0.9177069664001465,0.2087678360939026
21000,0.029414753057062627,0.0001,1.0469164848327637,6,-0.9784252643585205,1.0202559232711792,0.20883044958114624
21200,0.030184655571356415,0.0001,1.0426063537597656,6,-0.9793538451194763,1.0742779970169067,0.20897972702980042
21400,0.030270958393812178,0.0001,1.2334198951721191,6,-1.1064691543579102,1.0368958711624146,0.20903937816619872
21600,0.030145045621320605,0.0001,1.1768944263458252,6,-1.1685060262680054,1.0077005624771118,0.2088056218624115
21800,0.02959697237238288,0.0001,0.9693355560302734,6,-1.0964281558990479,1.0490151643753052,0.20892993330955506
22000,0.029088287204504012,0.0001,1.1968730688095093,6,-1.041203498840332,1.019803762435913,0.20875439405441285
22200,0.029226566245779396,0.0001,1.0968440771102905,6,-1.0340125560760498,0.9933602213859558,0.20923487186431886
22400,0.028920595655217766,0.0001,0.9364415407180786,6,-1.0976417064666748,0.9926710724830627,0.20869953274726868
22600,0.030694053703919054,0.0001,1.0892364978790283,6,-1.0420364141464233,1.027572751045227,0.20874833464622497
22800,0.0302981754951179,0.0001,0.9575275778770447,6,-1.168096661567688,1.090790867805481,0.20858338475227356
